LOCAL,LATITUDE,LONGITUDE,MUNICIPIO,UF
ABADIA DE GOIAS-GO,"-16,75","-49,43",ABADIA DE GOIAS,GO
ABADIA DOS DOURADOS-MG,"-18,48","-47,4",ABADIA DOS DOURADOS,MG
ABADIANIA-GO,"-16,2","-48,7",ABADIANIA,GO
ABAETE-MG,"-19,16","-45,44",ABAETE,MG
ABAETETUBA-PA,"-1,71","-48,88",ABAETETUBA,PA
ABAIARA-CE,"-7,35","-39,04",ABAIARA,CE
ABAIRA-BA,"-13,25","-41,66",ABAIRA,BA
ABARE-BA,"-8,72","-39,11",ABARE,BA
ABATIA-PR,"-23,3","-50,31",ABATIA,PR
ABDON BATISTA-SC,"-27,61","-51,02",ABDON BATISTA,SC
ABEL FIGUEIREDO-PA,"-4,95","-48,39",ABEL FIGUEIREDO,PA
ABELARDO LUZ-SC,"-26,56","-52,32",ABELARDO LUZ,SC
ABRE CAMPO-MG,"-20,3","-42,47",ABRE CAMPO,MG
ABREU E LIMA-PE,"-7,91","-34,9",ABREU E LIMA,PE
ABREULANDIA-TO,"-9,62","-49,15",ABREULANDIA,TO
ACAIACA-MG,"-20,36","-43,14",ACAIACA,MG
ACAILANDIA-MA,"-4,94","-47,5",ACAILANDIA,MA
ACAJUTIBA-BA,"-11,66","-38,01",ACAJUTIBA,BA
ACARA-PA,"-1,96","-48,19",ACARA,PA
ACARAPE-CE,"-4,22","-38,7",ACARAPE,CE
ACARAU-CE,"-2,88","-40,12",ACARAU,CE
ACARI-RN,"-6,43","-36,63",ACARI,RN
ACAUA-PI,"-8,21","-41,08",ACAUA,PI
ACOPIARA-CE,"-6,09","-39,45",ACOPIARA,CE
ACORIZAL-MT,"-15,2","-56,36",ACORIZAL,MT
ACRELANDIA-AC,"-9,82","-66,88",ACRELANDIA,AC
ACREUNA-GO,"-17,39","-50,37",ACREUNA,GO
ACUCENA-MG,"-19,07","-42,54",ACUCENA,MG
ACU-RN,"-5,57","-36,9",ACU,RN
ADAMANTINA-SP,"-21,68","-51,07",ADAMANTINA,SP
ADELANDIA-GO,"-16,41","-50,16",ADELANDIA,GO
ADOLFO-SP,"-21,23","-49,64",ADOLFO,SP
ADRIANOPOLIS-PR,"-24,65","-48,99",ADRIANOPOLIS,PR
ADUSTINA-BA,"-10,53","-38,1",ADUSTINA,BA
AFOGADOS DA INGAZEIRA-PE,"-7,75","-37,63",AFOGADOS DA INGAZEIRA,PE
AFONSO BEZERRA-RN,"-5,49","-36,5",AFONSO BEZERRA,RN
AFONSO CLAUDIO-ES,"-20,07","-41,12",AFONSO CLAUDIO,ES
AFONSO CUNHA-MA,"-4,13","-43,32",AFONSO CUNHA,MA
AFRANIO-PE,"-8,51",-41,AFRANIO,PE
AFUA-PA,"-0,15","-50,38",AFUA,PA
AGRESTINA-PE,"-8,45","-35,94",AGRESTINA,PE
AGRICOLANDIA-PI,"-5,79","-42,66",AGRICOLANDIA,PI
AGROLANDIA-SC,"-27,41","-49,82",AGROLANDIA,SC
AGRONOMICA-SC,"-27,26","-49,71",AGRONOMICA,SC
AGUA AZUL DO NORTE-PA,"-6,79","-50,46",AGUA AZUL DO NORTE,PA
AGUA BOA-MG,"-17,99","-42,38",AGUA BOA,MG
AGUA BOA-MT,"-14,05","-52,15",AGUA BOA,MT
AGUA BRANCA-AL,"-9,26","-37,93",AGUA BRANCA,AL
AGUA BRANCA-PB,"-7,51","-37,64",AGUA BRANCA,PB
AGUA BRANCA-PI,"-5,89","-42,63",AGUA BRANCA,PI
AGUA CLARA-MS,"-20,44","-52,87",AGUA CLARA,MS
AGUA COMPRIDA-MG,"-20,05","-48,1",AGUA COMPRIDA,MG
AGUA DOCE DO MARANHAO-MA,"-2,84","-42,11",AGUA DOCE DO MARANHAO,MA
AGUA DOCE DO NORTE-ES,"-18,54","-40,97",AGUA DOCE DO NORTE,ES
AGUA DOCE-SC,"-26,99","-51,55",AGUA DOCE,SC
AGUA FRIA DE GOIAS-GO,"-14,98","-47,78",AGUA FRIA DE GOIAS,GO
AGUA FRIA-BA,"-11,86","-38,76",AGUA FRIA,BA
AGUA LIMPA-GO,"-18,07","-48,76",AGUA LIMPA,GO
AGUA NOVA-RN,"-6,2","-38,29",AGUA NOVA,RN
AGUA PRETA-PE,"-8,7","-35,53",AGUA PRETA,PE
AGUA SANTA-RS,"-28,17","-52,03",AGUA SANTA,RS
AGUAI-SP,"-22,05","-46,97",AGUAI,SP
AGUANIL-MG,"-20,94","-45,39",AGUANIL,MG
AGUAS BELAS-PE,"-9,11","-37,12",AGUAS BELAS,PE
AGUAS DA PRATA-SP,"-21,93","-46,71",AGUAS DA PRATA,SP
AGUAS DE CHAPECO-SC,"-27,07","-52,98",AGUAS DE CHAPECO,SC
AGUAS DE LINDOIA-SP,"-22,47","-46,63",AGUAS DE LINDOIA,SP
AGUAS DE SANTA BARBARA-SP,"-22,88","-49,23",AGUAS DE SANTA BARBARA,SP
AGUAS DE SAO PEDRO-SP,"-22,59","-47,87",AGUAS DE SAO PEDRO,SP
AGUAS FORMOSAS-MG,"-17,08","-40,93",AGUAS FORMOSAS,MG
AGUAS FRIAS-SC,"-26,88","-52,85",AGUAS FRIAS,SC
AGUAS LINDAS DE GOIAS-GO,"-15,76","-48,28",AGUAS LINDAS DE GOIAS,GO
AGUAS MORNAS-SC,"-27,69","-48,82",AGUAS MORNAS,SC
AGUAS VERMELHAS-MG,"-15,74","-41,46",AGUAS VERMELHAS,MG
AGUDO-RS,"-29,64","-53,24",AGUDO,RS
AGUDOS DO SUL-PR,"-25,99","-49,33",AGUDOS DO SUL,PR
AGUDOS-SP,"-22,46","-48,98",AGUDOS,SP
AGUIA BRANCA-ES,"-18,98","-40,74",AGUIA BRANCA,ES
AGUIARNOPOLIS-TO,"-6,56","-47,46",AGUIARNOPOLIS,TO
AGUIAR-PB,"-7,09","-38,17",AGUIAR,PB
AIMORES-MG,"-19,49","-41,06",AIMORES,MG
AIQUARA-BA,"-14,12","-39,88",AIQUARA,BA
AIUABA-CE,"-6,57","-40,12",AIUABA,CE
AIURUOCA-MG,"-21,97","-44,6",AIURUOCA,MG
AJURICABA-RS,"-28,23","-53,77",AJURICABA,RS
ALAGOA GRANDE-PB,"-7,08","-35,63",ALAGOA GRANDE,PB
ALAGOA NOVA-PB,"-7,07","-35,75",ALAGOA NOVA,PB
ALAGOA-MG,"-22,17","-44,64",ALAGOA,MG
ALAGOINHA DO PIAUI-PI,-7,"-40,93",ALAGOINHA DO PIAUI,PI
ALAGOINHA-PB,"-6,95","-35,54",ALAGOINHA,PB
ALAGOINHA-PE,"-8,46","-36,77",ALAGOINHA,PE
ALAGOINHAS-BA,"-12,13","-38,41",ALAGOINHAS,BA
ALAMBARI-SP,"-23,55","-47,89",ALAMBARI,SP
ALBERTINA-MG,"-22,2","-46,61",ALBERTINA,MG
ALCANTARA-MA,"-2,4","-44,41",ALCANTARA,MA
ALCANTARAS-CE,"-3,58","-40,54",ALCANTARAS,CE
ALCANTIL-PB,"-7,74","-36,05",ALCANTIL,PB
ALCINOPOLIS-MS,"-18,32","-53,7",ALCINOPOLIS,MS
ALCOBACA-BA,"-17,51","-39,19",ALCOBACA,BA
ALDEIAS ALTAS-MA,"-4,62","-43,47",ALDEIAS ALTAS,MA
ALECRIM-RS,"-27,65","-54,76",ALECRIM,RS
ALEGRE-ES,"-20,76","-41,53",ALEGRE,ES
ALEGRETE DO PIAUI-PI,"-7,24","-40,85",ALEGRETE DO PIAUI,PI
ALEGRETE-RS,"-29,78","-55,79",ALEGRETE,RS
ALEGRIA-RS,"-27,82","-54,05",ALEGRIA,RS
ALEM PARAIBA-MG,"-21,88","-42,7",ALEM PARAIBA,MG
ALENQUER-PA,"-1,94","-54,73",ALENQUER,PA
ALEXANDRIA-RN,"-6,41","-38,01",ALEXANDRIA,RN
ALEXANIA-GO,"-16,08","-48,5",ALEXANIA,GO
ALFENAS-MG,"-21,42","-45,94",ALFENAS,MG
ALFREDO CHAVES-ES,"-20,63","-40,75",ALFREDO CHAVES,ES
ALFREDO MARCONDES-SP,"-21,95","-51,41",ALFREDO MARCONDES,SP
ALFREDO VASCONCELOS-MG,"-21,14","-43,77",ALFREDO VASCONCELOS,MG
ALFREDO WAGNER-SC,"-27,7","-49,33",ALFREDO WAGNER,SC
ALGODAO DE JANDAIRA-PB,"-6,81","-35,92",ALGODAO DE JANDAIRA,PB
ALHANDRA-PB,"-7,43","-34,91",ALHANDRA,PB
ALIANCA DO TOCANTINS-TO,"-11,3","-48,93",ALIANCA DO TOCANTINS,TO
ALIANCA-PE,"-7,6","-35,23",ALIANCA,PE
ALMADINA-BA,"-14,7","-39,63",ALMADINA,BA
ALMAS-TO,"-11,57","-47,17",ALMAS,TO
ALMEIRIM-PA,"-1,52","-52,58",ALMEIRIM,PA
ALMENARA-MG,"-16,18","-40,69",ALMENARA,MG
ALMINO AFONSO-RN,"-6,15","-37,76",ALMINO AFONSO,RN
ALMIRANTE TAMANDARE-PR,"-25,32","-49,31",ALMIRANTE TAMANDARE,PR
ALOANDIA-GO,"-17,72","-49,48",ALOANDIA,GO
ALPERCATA-MG,"-18,97","-41,97",ALPERCATA,MG
ALPESTRE-RS,"-27,24","-53,03",ALPESTRE,RS
ALPINOPOLIS-MG,"-20,86","-46,38",ALPINOPOLIS,MG
ALTA FLORESTA D'OESTE-RO,"-11,94","-61,9",ALTA FLORESTA D'OESTE,RO
ALTA FLORESTA-MT,"-9,87","-56,08",ALTA FLORESTA,MT
ALTAIR-SP,"-20,52","-49,05",ALTAIR,SP
ALTAMIRA DO MARANHAO-MA,"-4,16","-45,47",ALTAMIRA DO MARANHAO,MA
ALTAMIRA DO PARANA-PR,"-24,79","-52,71",ALTAMIRA DO PARANA,PR
ALTAMIRA-PA,"-3,2","-52,2",ALTAMIRA,PA
ALTANEIRA-CE,-7,"-39,74",ALTANEIRA,CE
ALTEROSA-MG,"-21,24","-46,14",ALTEROSA,MG
ALTINHO-PE,"-8,49","-36,05",ALTINHO,PE
ALTINOPOLIS-SP,"-21,02","-47,37",ALTINOPOLIS,SP
ALTO ALEGRE DO MARANHAO-MA,"-4,21","-44,44",ALTO ALEGRE DO MARANHAO,MA
ALTO ALEGRE DO PARECIS-RO,"-12,12","-61,85",ALTO ALEGRE DO PARECIS,RO
ALTO ALEGRE DO PINDARE-MA,"-3,69","-45,9",ALTO ALEGRE DO PINDARE,MA
ALTO ALEGRE-RR,"2,89","-61,49",ALTO ALEGRE,RR
ALTO ALEGRE-RS,"-28,77","-52,99",ALTO ALEGRE,RS
ALTO ALEGRE-SP,"-21,58","-50,16",ALTO ALEGRE,SP
ALTO ARAGUAIA-MT,"-17,31","-53,21",ALTO ARAGUAIA,MT
ALTO BELA VISTA-SC,"-27,45","-51,87",ALTO BELA VISTA,SC
ALTO BOA VISTA-MT,"-11,67","-51,38",ALTO BOA VISTA,MT
ALTO CAPARAO-MG,"-20,52","-41,89",ALTO CAPARAO,MG
ALTO DO RODRIGUES-RN,"-5,28","-36,76",ALTO DO RODRIGUES,RN
ALTO FELIZ-RS,"-29,39","-51,31",ALTO FELIZ,RS
ALTO GARCAS-MT,"-16,94","-53,52",ALTO GARCAS,MT
ALTO HORIZONTE-GO,"-14,19","-49,33",ALTO HORIZONTE,GO
ALTO JEQUITIBA-MG,"-20,42","-41,96",ALTO JEQUITIBA,MG
ALTO LONGA-PI,"-5,25","-42,21",ALTO LONGA,PI
ALTO PARAGUAI-MT,"-14,51","-56,48",ALTO PARAGUAI,MT
ALTO PARAISO DE GOIAS-GO,"-14,13","-47,51",ALTO PARAISO DE GOIAS,GO
ALTO PARAISO-RO,"-9,71","-63,32",ALTO PARAISO,RO
ALTO PARANA-PR,"-23,12","-52,31",ALTO PARANA,PR
ALTO PARNAIBA-MA,"-9,11","-45,93",ALTO PARNAIBA,MA
ALTO PIQUIRI-PR,"-24,02","-53,44",ALTO PIQUIRI,PR
ALTO RIO DOCE-MG,"-21,02","-43,41",ALTO RIO DOCE,MG
ALTO RIO NOVO-ES,"-19,05","-41,01",ALTO RIO NOVO,ES
ALTO SANTO-CE,"-5,52","-38,27",ALTO SANTO,CE
ALTO TAQUARI-MT,"-17,82","-53,28",ALTO TAQUARI,MT
ALTONIA-PR,"-23,87","-53,9",ALTONIA,PR
ALTOS-PI,"-5,03","-42,46",ALTOS,PI
ALUMINIO-SP,"-23,53","-47,26",ALUMINIO,SP
ALVARAES-AM,"-3,22","-64,8",ALVARAES,AM
ALVARENGA-MG,"-19,41","-41,72",ALVARENGA,MG
ALVARES FLORENCE-SP,"-20,32","-49,91",ALVARES FLORENCE,SP
ALVARES MACHADO-SP,"-22,07","-51,47",ALVARES MACHADO,SP
ALVARO DE CARVALHO-SP,"-22,08","-49,71",ALVARO DE CARVALHO,SP
ALVINLANDIA-SP,"-22,44","-49,76",ALVINLANDIA,SP
ALVINOPOLIS-MG,"-20,1","-43,04",ALVINOPOLIS,MG
ALVORADA DE MINAS-MG,"-18,73","-43,36",ALVORADA DE MINAS,MG
ALVORADA DO GURGUEIA-PI,"-8,42","-43,77",ALVORADA DO GURGUEIA,PI
ALVORADA DO NORTE-GO,"-14,48","-46,49",ALVORADA DO NORTE,GO
ALVORADA DO SUL-PR,"-22,78","-51,23",ALVORADA DO SUL,PR
ALVORADA D'OESTE-RO,"-11,4","-62,38",ALVORADA D'OESTE,RO
ALVORADA-RS,"-29,99","-51,08",ALVORADA,RS
ALVORADA-TO,"-12,48","-49,12",ALVORADA,TO
AMAJARI-RR,"3,65","-61,37",AMAJARI,RR
AMAMBAI-MS,"-23,1","-55,22",AMAMBAI,MS
AMAPA DO MARANHAO-MA,"-1,56","-45,93",AMAPA DO MARANHAO,MA
AMAPA-AP,"2,05","-50,79",AMAPA,AP
AMAPORA-PR,"-23,09","-52,78",AMAPORA,PR
AMARAJI-PE,"-8,38","-35,45",AMARAJI,PE
AMARAL FERRADOR-RS,"-30,87","-52,25",AMARAL FERRADOR,RS
AMARALINA-GO,"-13,92","-49,29",AMARALINA,GO
AMARANTE DO MARANHAO-MA,"-5,56","-46,74",AMARANTE DO MARANHAO,MA
AMARANTE-PI,"-6,24","-42,85",AMARANTE,PI
AMARGOSA-BA,"-13,03","-39,6",AMARGOSA,BA
AMATURA-AM,"-3,36","-68,19",AMATURA,AM
AMELIA RODRIGUES-BA,"-12,39","-38,75",AMELIA RODRIGUES,BA
AMERICA DOURADA-BA,"-11,45","-41,43",AMERICA DOURADA,BA
AMERICANA-SP,"-22,73","-47,33",AMERICANA,SP
AMERICANO DO BRASIL-GO,"-16,25","-49,98",AMERICANO DO BRASIL,GO
AMERICO BRASILIENSE-SP,"-21,72","-48,1",AMERICO BRASILIENSE,SP
AMERICO DE CAMPOS-SP,"-20,29","-49,73",AMERICO DE CAMPOS,SP
AMETISTA DO SUL-RS,"-27,36","-53,18",AMETISTA DO SUL,RS
AMONTADA-CE,"-3,49","-39,57",AMONTADA,CE
AMORINOPOLIS-GO,"-16,61","-51,09",AMORINOPOLIS,GO
AMPARO DE SAO FRANCISCO-SE,"-10,13","-36,93",AMPARO DE SAO FRANCISCO,SE
AMPARO DO SERRA-MG,"-20,5","-42,8",AMPARO DO SERRA,MG
AMPARO-PB,"-7,56","-37,06",AMPARO,PB
AMPARO-SP,"-22,7","-46,76",AMPARO,SP
AMPERE-PR,"-25,91","-53,47",AMPERE,PR
ANADIA-AL,"-9,68","-36,3",ANADIA,AL
ANAGE-BA,"-14,61","-41,13",ANAGE,BA
ANAHY-PR,"-24,71","-53,08",ANAHY,PR
ANAJAS-PA,"-0,98","-49,94",ANAJAS,PA
ANAJATUBA-MA,"-3,26","-44,62",ANAJATUBA,MA
ANALANDIA-SP,"-22,12","-47,66",ANALANDIA,SP
ANAMA-AM,"-3,58","-61,4",ANAMA,AM
ANANAS-TO,"-6,36","-48,07",ANANAS,TO
ANANINDEUA-PA,"-1,36","-48,37",ANANINDEUA,PA
ANAPOLIS-GO,"-16,32","-48,95",ANAPOLIS,GO
ANAPU-PA,"-3,47","-51,19",ANAPU,PA
ANAPURUS-MA,"-3,67","-43,11",ANAPURUS,MA
ANASTACIO-MS,"-20,48","-55,8",ANASTACIO,MS
ANAURILANDIA-MS,"-22,18","-52,71",ANAURILANDIA,MS
ANCHIETA-ES,"-20,79","-40,65",ANCHIETA,ES
ANCHIETA-SC,"-26,53","-53,33",ANCHIETA,SC
ANDARAI-BA,"-12,8","-41,33",ANDARAI,BA
ANDIRA-PR,"-23,05","-50,22",ANDIRA,PR
ANDORINHA-BA,"-10,34","-39,83",ANDORINHA,BA
ANDRADAS-MG,"-22,06","-46,56",ANDRADAS,MG
ANDRADINA-SP,"-20,89","-51,37",ANDRADINA,SP
ANDRE DA ROCHA-RS,"-28,63","-51,57",ANDRE DA ROCHA,RS
ANDRELANDIA-MG,"-21,74","-44,3",ANDRELANDIA,MG
ANGATUBA-SP,"-23,49","-48,41",ANGATUBA,SP
ANGELANDIA-MG,"-17,6","-42,16",ANGELANDIA,MG
ANGELICA-MS,"-22,15","-53,77",ANGELICA,MS
ANGELIM-PE,"-8,89","-36,28",ANGELIM,PE
ANGELINA-SC,"-27,56","-48,98",ANGELINA,SC
ANGICAL DO PIAUI-PI,"-6,08","-42,73",ANGICAL DO PIAUI,PI
ANGICAL-BA,-12,"-44,69",ANGICAL,BA
ANGICOS-RN,"-5,66","-36,6",ANGICOS,RN
ANGICO-TO,"-6,39","-47,86",ANGICO,TO
ANGRA DOS REIS-RJ,-23,"-44,31",ANGRA DOS REIS,RJ
ANGUERA-BA,"-12,15","-39,24",ANGUERA,BA
ANGULO-PR,"-23,19","-51,91",ANGULO,PR
ANHANGUERA-GO,"-18,33","-48,21",ANHANGUERA,GO
ANHEMBI-SP,"-22,78","-48,12",ANHEMBI,SP
ANHUMAS-SP,"-22,29","-51,38",ANHUMAS,SP
ANICUNS-GO,"-16,46","-49,96",ANICUNS,GO
ANISIO DE ABREU-PI,"-9,18","-43,04",ANISIO DE ABREU,PI
ANITA GARIBALDI-SC,"-27,68","-51,13",ANITA GARIBALDI,SC
ANITAPOLIS-SC,"-27,9","-49,12",ANITAPOLIS,SC
ANORI-AM,"-3,77","-61,64",ANORI,AM
ANTA GORDA-RS,"-28,97",-52,ANTA GORDA,RS
ANTAS-BA,"-10,4","-38,33",ANTAS,BA
ANTONINA DO NORTE-CE,"-6,77","-39,98",ANTONINA DO NORTE,CE
ANTONINA-PR,"-25,42","-48,71",ANTONINA,PR
ANTONIO ALMEIDA-PI,"-7,21","-44,19",ANTONIO ALMEIDA,PI
ANTONIO CARDOSO-BA,"-12,43","-39,12",ANTONIO CARDOSO,BA
ANTONIO CARLOS-MG,"-21,31","-43,74",ANTONIO CARLOS,MG
ANTONIO CARLOS-SC,"-27,51","-48,76",ANTONIO CARLOS,SC
ANTONIO DIAS-MG,"-19,65","-42,87",ANTONIO DIAS,MG
ANTONIO GONCALVES-BA,"-10,57","-40,27",ANTONIO GONCALVES,BA
ANTONIO JOAO-MS,"-22,19","-55,94",ANTONIO JOAO,MS
ANTONIO MARTINS-RN,"-6,21","-37,9",ANTONIO MARTINS,RN
ANTONIO OLINTO-PR,"-25,98","-50,19",ANTONIO OLINTO,PR
ANTONIO PRADO DE MINAS-MG,"-21,01","-42,1",ANTONIO PRADO DE MINAS,MG
ANTONIO PRADO-RS,"-28,85","-51,28",ANTONIO PRADO,RS
APARECIDA DE GOIANIA-GO,"-16,82","-49,24",APARECIDA DE GOIANIA,GO
APARECIDA DO RIO DOCE-GO,"-18,29","-51,14",APARECIDA DO RIO DOCE,GO
APARECIDA DO RIO NEGRO-TO,"-9,95","-47,97",APARECIDA DO RIO NEGRO,TO
APARECIDA DO TABOADO-MS,"-20,08","-51,09",APARECIDA DO TABOADO,MS
APARECIDA D'OESTE-SP,"-20,44","-50,88",APARECIDA D'OESTE,SP
APARECIDA-PB,"-6,78","-38,08",APARECIDA,PB
APARECIDA-SP,"-22,84","-45,23",APARECIDA,SP
APERIBE-RJ,"-21,62","-42,1",APERIBE,RJ
APIACA-ES,"-21,15","-41,56",APIACA,ES
APIACAS-MT,"-9,54","-57,44",APIACAS,MT
APIAI-SP,"-24,5","-48,84",APIAI,SP
APICUM-ACU-MA,"-1,46","-45,1",APICUM-ACU,MA
APIUNA-SC,"-27,03","-49,39",APIUNA,SC
APODI-RN,"-5,66","-37,79",APODI,RN
APORA-BA,"-11,66","-38,08",APORA,BA
APORE-GO,"-18,96","-51,92",APORE,GO
APUAREMA-BA,"-13,85","-39,74",APUAREMA,BA
APUCARANA-PR,"-23,55","-51,46",APUCARANA,PR
APUI-AM,"-7,19","-59,89",APUI,AM
APUIARES-CE,"-3,94","-39,43",APUIARES,CE
AQUIDABA-SE,"-10,28","-37,01",AQUIDABA,SE
AQUIDAUANA-MS,"-20,47","-55,78",AQUIDAUANA,MS
AQUIRAZ-CE,"-3,9","-38,39",AQUIRAZ,CE
ARABUTA-SC,"-27,16","-52,14",ARABUTA,SC
ARACAGI-PB,"-6,85","-35,38",ARACAGI,PB
ARACAI-MG,"-19,19","-44,24",ARACAI,MG
ARACAJU-SE,"-10,91","-37,07",ARACAJU,SE
ARACARIGUAMA-SP,"-23,43","-47,06",ARACARIGUAMA,SP
ARACAS-BA,"-12,22","-38,2",ARACAS,BA
ARACATI-CE,"-4,56","-37,77",ARACATI,CE
ARACATU-BA,"-14,42","-41,46",ARACATU,BA
ARACATUBA-SP,"-21,2","-50,43",ARACATUBA,SP
ARACI-BA,"-11,33","-38,96",ARACI,BA
ARACITABA-MG,"-21,34","-43,37",ARACITABA,MG
ARACOIABA DA SERRA-SP,"-23,5","-47,61",ARACOIABA DA SERRA,SP
ARACOIABA-CE,"-4,37","-38,81",ARACOIABA,CE
ARACOIABA-PE,"-7,79","-35,09",ARACOIABA,PE
ARACRUZ-ES,"-19,82","-40,27",ARACRUZ,ES
ARACUAI-MG,"-16,85","-42,07",ARACUAI,MG
ARACU-GO,"-16,35","-49,68",ARACU,GO
ARAGARCAS-GO,"-15,89","-52,25",ARAGARCAS,GO
ARAGOIANIA-GO,"-16,91","-49,45",ARAGOIANIA,GO
ARAGOMINAS-TO,"-7,16","-48,52",ARAGOMINAS,TO
ARAGUACEMA-TO,"-8,8","-49,55",ARAGUACEMA,TO
ARAGUACU-TO,"-12,93","-49,82",ARAGUACU,TO
ARAGUAIANA-MT,"-15,73","-51,83",ARAGUAIANA,MT
ARAGUAINA-TO,"-7,19","-48,2",ARAGUAINA,TO
ARAGUAINHA-MT,"-16,85","-53,03",ARAGUAINHA,MT
ARAGUANA-MA,"-2,95","-45,66",ARAGUANA,MA
ARAGUANA-TO,"-6,58","-48,64",ARAGUANA,TO
ARAGUAPAZ-GO,"-15,09","-50,63",ARAGUAPAZ,GO
ARAGUARI-MG,"-18,64","-48,18",ARAGUARI,MG
ARAGUATINS-TO,"-5,65","-48,12",ARAGUATINS,TO
ARAIOSES-MA,"-2,89","-41,9",ARAIOSES,MA
ARAL MOREIRA-MS,"-22,93","-55,63",ARAL MOREIRA,MS
ARAMARI-BA,"-12,08","-38,49",ARAMARI,BA
ARAMBARE-RS,"-30,91","-51,49",ARAMBARE,RS
ARAME-MA,"-4,73","-45,9",ARAME,MA
ARAMINA-SP,"-20,09","-47,78",ARAMINA,SP
ARANDU-SP,"-23,13","-49,05",ARANDU,SP
ARANTINA-MG,"-21,91","-44,25",ARANTINA,MG
ARAPEI-SP,"-22,67","-44,44",ARAPEI,SP
ARAPIRACA-AL,"-9,75","-36,66",ARAPIRACA,AL
ARAPOEMA-TO,"-7,65","-49,06",ARAPOEMA,TO
ARAPONGA-MG,"-20,66","-42,52",ARAPONGA,MG
ARAPONGAS-PR,"-23,41","-51,42",ARAPONGAS,PR
ARAPORA-MG,"-18,43","-49,18",ARAPORA,MG
ARAPOTI-PR,"-24,15","-49,82",ARAPOTI,PR
ARAPUA-MG,"-19,03","-46,15",ARAPUA,MG
ARAPUA-PR,"-24,31","-51,78",ARAPUA,PR
ARAPUTANGA-MT,"-15,47","-58,35",ARAPUTANGA,MT
ARAQUARI-SC,"-26,37","-48,72",ARAQUARI,SC
ARARANGUA-SC,"-28,93","-49,48",ARARANGUA,SC
ARARA-PB,"-6,82","-35,75",ARARA,PB
ARARAQUARA-SP,"-21,79","-48,17",ARARAQUARA,SP
ARARAS-SP,"-22,35","-47,38",ARARAS,SP
ARARENDA-CE,"-4,75","-40,83",ARARENDA,CE
ARARICA-RS,"-29,61","-50,92",ARARICA,RS
ARARI-MA,"-3,45","-44,78",ARARI,MA
ARARIPE-CE,"-7,21","-40,04",ARARIPE,CE
ARARIPINA-PE,"-7,57","-40,49",ARARIPINA,PE
ARARUAMA-RJ,"-22,87","-42,34",ARARUAMA,RJ
ARARUNA-PB,"-6,55","-35,74",ARARUNA,PB
ARARUNA-PR,"-23,93","-52,49",ARARUNA,PR
ARATACA-BA,"-15,26","-39,41",ARATACA,BA
ARATIBA-RS,"-27,39","-52,3",ARATIBA,RS
ARATUBA-CE,"-4,41","-39,04",ARATUBA,CE
ARATUIPE-BA,"-13,07",-39,ARATUIPE,BA
ARAUA-SE,"-11,26","-37,62",ARAUA,SE
ARAUCARIA-PR,"-25,59","-49,41",ARAUCARIA,PR
ARAUJOS-MG,"-19,94","-45,16",ARAUJOS,MG
ARAXA-MG,"-19,59","-46,94",ARAXA,MG
ARCEBURGO-MG,"-21,36","-46,94",ARCEBURGO,MG
ARCO-IRIS-SP,"-21,77","-50,46",ARCO-IRIS,SP
ARCOS-MG,"-20,28","-45,53",ARCOS,MG
ARCOVERDE-PE,"-8,41","-37,05",ARCOVERDE,PE
AREADO-MG,"-21,35","-46,14",AREADO,MG
AREAL-RJ,"-22,23","-43,1",AREAL,RJ
AREALVA-SP,"-22,02","-48,91",AREALVA,SP
AREIA BRANCA-RN,"-4,95","-37,13",AREIA BRANCA,RN
AREIA BRANCA-SE,"-10,75","-37,31",AREIA BRANCA,SE
AREIA DE BARAUNAS-PB,"-7,12","-36,94",AREIA DE BARAUNAS,PB
AREIAL-PB,"-7,02","-35,9",AREIAL,PB
AREIA-PB,"-6,96","-35,69",AREIA,PB
AREIAS-SP,"-22,58","-44,69",AREIAS,SP
AREIOPOLIS-SP,"-22,66","-48,66",AREIOPOLIS,SP
ARENAPOLIS-MT,"-14,45","-56,84",ARENAPOLIS,MT
ARENOPOLIS-GO,"-16,38","-51,56",ARENOPOLIS,GO
ARES-RN,"-6,19","-35,16",ARES,RN
ARGIRITA-MG,"-21,61","-42,83",ARGIRITA,MG
ARICANDUVA-MG,"-17,86","-42,55",ARICANDUVA,MG
ARINOS-MG,"-15,91","-46,1",ARINOS,MG
ARIPUANA-MT,"-10,16","-59,45",ARIPUANA,MT
ARIQUEMES-RO,"-9,91","-63,04",ARIQUEMES,RO
ARIRANHA DO IVAI-PR,"-24,38","-51,58",ARIRANHA DO IVAI,PR
ARIRANHA-SP,"-21,18","-48,78",ARIRANHA,SP
ARMACAO DE BUZIOS-RJ,"-22,74","-41,88",ARMACAO DE BUZIOS,RJ
ARMAZEM-SC,"-28,26","-49,01",ARMAZEM,SC
ARNEIROZ-CE,"-6,32","-40,16",ARNEIROZ,CE
AROAZES-PI,"-6,11","-41,79",AROAZES,PI
AROEIRAS-PB,"-7,54","-35,7",AROEIRAS,PB
ARRAIAL DO CABO-RJ,"-22,96","-42,02",ARRAIAL DO CABO,RJ
ARRAIAL-PI,"-6,65","-42,53",ARRAIAL,PI
ARRAIAS-TO,"-12,93","-46,93",ARRAIAS,TO
ARROIO DO MEIO-RS,"-29,4","-51,94",ARROIO DO MEIO,RS
ARROIO DO SAL-RS,"-29,55","-49,88",ARROIO DO SAL,RS
